EPEX 2022	EPEX 2023	EPEX 2024
0.18804	0.11990	0.08717
0.18804	0.11990	0.08717
0.18804	0.11990	0.08717
0.18804	0.11990	0.08717
0.22740	0.17900	0.08978
0.22740	0.17900	0.08978
0.22740	0.17900	0.08978
0.22740	0.17900	0.08978
0.23100	0.17104	0.09500
0.23100	0.17104	0.09500
0.23100	0.17104	0.09500
0.23100	0.17104	0.09500
0.22870	0.16947	0.09629
0.22870	0.16947	0.09629
0.22870	0.16947	0.09629
0.22870	0.16947	0.09629
0.22000	0.15400	0.09822
0.22000	0.15400	0.09822
0.22000	0.15400	0.09822
0.22000	0.15400	0.09822
0.19863	0.14600	0.09229
0.19863	0.14600	0.09229
0.19863	0.14600	0.09229
0.19863	0.14600	0.09229
0.20000	0.14510	0.09165
0.20000	0.14510	0.09165
0.20000	0.14510	0.09165
0.20000	0.14510	0.09165
0.22000	0.15103	0.09650
0.22000	0.15103	0.09650
0.22000	0.15103	0.09650
0.22000	0.15103	0.09650
0.21500	0.15948	0.10013
0.21500	0.15948	0.10013
0.21500	0.15948	0.10013
0.21500	0.15948	0.10013
0.22870	0.17273	0.10303
0.22870	0.17273	0.10303
0.22870	0.17273	0.10303
0.22870	0.17273	0.10303
0.29900	0.22210	0.10743
0.29900	0.22210	0.10743
0.29900	0.22210	0.10743
0.29900	0.22210	0.10743
0.31525	0.19467	0.10847
0.31525	0.19467	0.10847
0.31525	0.19467	0.10847
0.31525	0.19467	0.10847
0.25103	0.17798	0.10400
0.25103	0.17798	0.10400
0.25103	0.17798	0.10400
0.25103	0.17798	0.10400
0.18110	0.16399	0.10013
0.18110	0.16399	0.10013
0.18110	0.16399	0.10013
0.18110	0.16399	0.10013
0.22780	0.15200	0.09421
0.22780	0.15200	0.09421
0.22780	0.15200	0.09421
0.22780	0.15200	0.09421
0.14145	0.14464	0.09492
0.14145	0.14464	0.09492
0.14145	0.14464	0.09492
0.14145	0.14464	0.09492
0.14000	0.12700	0.08680
0.14000	0.12700	0.08680
0.14000	0.12700	0.08680
0.14000	0.12700	0.08680
0.22500	0.10721	0.08225
0.22500	0.10721	0.08225
0.22500	0.10721	0.08225
0.22500	0.10721	0.08225
0.18787	0.10110	0.08020
0.18787	0.10110	0.08020
0.18787	0.10110	0.08020
0.18787	0.10110	0.08020
0.21800	0.09673	0.07613
0.21800	0.09673	0.07613
0.21800	0.09673	0.07613
0.21800	0.09673	0.07613
0.18800	0.08142	0.07301
0.18800	0.08142	0.07301
0.18800	0.08142	0.07301
0.18800	0.08142	0.07301
0.19990	0.07445	0.07301
0.19990	0.07445	0.07301
0.19990	0.07445	0.07301
0.19990	0.07445	0.07301
0.18700	0.07832	0.07459
0.18700	0.07832	0.07459
0.18700	0.07832	0.07459
0.18700	0.07832	0.07459
0.21556	0.09689	0.07510
0.21556	0.09689	0.07510
0.21556	0.09689	0.07510
0.21556	0.09689	0.07510
0.22825	0.10702	0.08139
0.22825	0.10702	0.08139
0.22825	0.10702	0.08139
0.22825	0.10702	0.08139
0.25000	0.12294	0.08840
0.25000	0.12294	0.08840
0.25000	0.12294	0.08840
0.25000	0.12294	0.08840
0.29255	0.16640	0.09223
0.29255	0.16640	0.09223
0.29255	0.16640	0.09223
0.29255	0.16640	0.09223
0.26867	0.18240	0.09730
0.26867	0.18240	0.09730
0.26867	0.18240	0.09730
0.26867	0.18240	0.09730
0.23190	0.16367	0.10043
0.23190	0.16367	0.10043
0.23190	0.16367	0.10043
0.23190	0.16367	0.10043
0.22600	0.14020	0.09916
0.22600	0.14020	0.09916
0.22600	0.14020	0.09916
0.22600	0.14020	0.09916
0.20920	0.13500	0.09452
0.20920	0.13500	0.09452
0.20920	0.13500	0.09452
0.20920	0.13500	0.09452
0.21606	0.15800	0.09245
0.21606	0.15800	0.09245
0.21606	0.15800	0.09245
0.21606	0.15800	0.09245
0.23077	0.17040	0.09418
0.23077	0.17040	0.09418
0.23077	0.17040	0.09418
0.23077	0.17040	0.09418
0.24595	0.14010	0.09922
0.24595	0.14010	0.09922
0.24595	0.14010	0.09922
0.24595	0.14010	0.09922
0.27411	0.15593	0.10469
0.27411	0.15593	0.10469
0.27411	0.15593	0.10469
0.27411	0.15593	0.10469
0.27344	0.16350	0.10363
0.27344	0.16350	0.10363
0.27344	0.16350	0.10363
0.27344	0.16350	0.10363
0.21910	0.14674	0.09900
0.21910	0.14674	0.09900
0.21910	0.14674	0.09900
0.21910	0.14674	0.09900
0.21858	0.13939	0.09214
0.21858	0.13939	0.09214
0.21858	0.13939	0.09214
